图片,译名,片名,年代,产地,类别,语言,字幕,上映日期,片长,导演,主演,简介,下载链接
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-05-05/e21c6b03d4674b1951f605f54ed83d91.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-05-05/b7a0fcc1546e5d14eb1c465923e0f776.jpg']",新豪门夜宴,��是有�墼诟綦x,2021,中国香港,"['喜剧', '剧情']",汉语普通话,中文字幕,2021-05-04,79 Mins,谷德昭,"['曾志伟', '梁家辉', '张智霖', '张继聪', '薛凯琪', '陈家乐', '古天乐', '成龙', '吴镇宇', '林家栋', '方力申', '郑则仕', '李灿森', '许冠文', '周秀娜', '钱嘉乐', '元秋', '罗兰', '苏丽珊', '刘心悠', '张达伦', '姜皓文', '张国强', '陆永', '菊梓乔', '余安安', '卢惠光', '邓月平', '韩马利', '林德信', '河国荣', '车婉婉', '张文慈', '吴肇轩', '李靖筠', '伍咏诗', '冯勉恒', '彭敬慈', '林兆霞', '蔡洁', '王凯韦', '庄奕楠', 'Dough-Boy']",香港演艺人协会、香港电影工作者总会发起，香港十间电影公司（中国星、安乐影片、英皇电影、东方影业、寰亚电影、美亚电影、天下一电影、邵氏兄弟、太阳娱乐文化、寰宇电影）和香港电影发展局“电影制作融资计划”联合出品，讲述一个风平浪静的下午，格尼酒店突然查出疑似病例，随即被防疫中心勒令全面封锁，所有逗留在酒店内的客人必需接受14天强制隔离。众人在酒店内隔离，人与人之间的关系在不知不觉间拉近。大家共同渡过艰难时刻，更学会珍惜可能是最后的相处时光。,['magnet:?xt=urn:btih:3140c0cfac14fa295e39eaa9c5441cd4da794aff&dn=[电影天堂www.dytt89.com]总是有爱在隔离-2021_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/dyzz/2021-04-30/ac133575e74066be01a49a77a3510e9e.jpg', 'https://img.dytt89.com/d/file/html/gndy/dyzz/2021-04-30/2f1ec001362feea3e22d11dedd5b15fc.jpg']",唐探3/Detective Chinatown 3,唐人街探案3,2021,中国大陆,"['喜剧', '悬疑']",汉语普通话,中文字幕,2021-02-12,136 Mins,陈思诚,"['王宝强', '刘昊然', '妻夫木聪', '托尼·贾', '长泽雅美', '染谷将太', '铃木保奈美', '浅野忠信', '三浦友和', '尚语贤', '肖央', '张子枫', '邱泽', '张钧甯', '马伯骞', '程潇', '陈哲远', '李明轩', '崔雨鑫', '张熙然']",继曼谷、纽约之后，东京再出大案。唐人街神探唐仁（王宝强 饰）、秦风（刘昊然 饰）受侦探野田昊（妻夫木聪 饰）的邀请前往破案。“CRIMASTER世界侦探排行榜”中的侦探们闻讯后也齐聚东京，加入挑战，而排名第一Q的现身，让这个大案更加扑朔迷离，一场亚洲最强神探之间的较量即将爆笑展开……,"['magnet:?xt=urn:btih:6c2885499fc38ba86e0c18931c5b65b8082c6cc5&dn=[电影天堂www.dytt89.com]唐人街探案3-2021_4K国语中字.mp4', 'magnet:?xt=urn:btih:ad281b53f1b89fd3f429b0a971cf1b885fc9fd50&dn=[电影天堂www.dytt89.com]唐人街探案3-2021_BD国语中字.mp4\r', 'magnet:?xt=urn:btih:ac5f47309d054180e6e3dbcb53670bbccd0c887b&dn=[电影天堂www.dytt89.com]唐人街探案3-2021_HD国语中英双字.mp4\r']"
"['https://img.dytt89.com/d/file/html/gndy/dyzz/2021-05-02/21ec4863f0f4c8a0e839875a5b08bda1.jpg', 'https://img.dytt89.com/d/file/html/gndy/dyzz/2021-05-03/a855d6cb99f740baeadaff9880222770.jpg']","Hi, Mom",你好，李焕英,2021,中国大陆,"['喜剧', '奇幻', '剧情']",汉语普通话,中文字幕,2021-02-12,128 Mins,贾玲,"['贾玲', '张小斐', '沈腾', '陈赫', '魏翔', '刘佳']",2001年的某一天，刚刚考上大学的贾晓玲（贾玲 饰）经历了人生中的一次大起大落。一心想要成为母亲骄傲的她却因母亲突遭严重意外，而悲痛万分。在贾晓玲情绪崩溃的状态下，竟意外的回到了1981年，并与年轻的母亲李焕英（张小斐 饰）相遇，二人形影不离，宛如闺蜜。与此同时，也结识了一群天真善良的好朋友。晓玲以为来到了这片“广阔天地”，她可以凭借自己超前的思维，让母亲“大有作为”，但结果却让晓玲感到意外......,['magnet:?xt=urn:btih:c99c050285decb69d8c7d04802d0066e18deb4f3&dn=[电影天堂www.dytt89.com]你好，李焕英-2021_HD国语中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/dyzz/2021-05-02/9c9339eece2b67c7df5fa741c51a4be3.jpg', 'https://img.dytt89.com/d/file/html/gndy/dyzz/2021-05-02/71a6e5e58d71c3b20b9dfda6d1727331.jpg']",,The Mitchells vs. The Machines,2021,美国/加拿大/法国,"['喜剧', '科幻', '动画', '冒险']",英语,中文字幕,2021-04-30,111 Mins,迈克尔·里安达,"['奥利维娅·科尔曼', '埃里克·安德烈', '玛娅·鲁道夫', '查琳·易', '丹尼·麦克布莱德', '艾比·雅各布森', '弗莱德·阿米森', '克莉丝汀·泰根', '玛德琳·麦格劳', '亚历克斯·赫什', '柯南·奥布莱恩', '萨西尔·扎玛塔', '约翰·传奇', '贝克·班尼特', 'Griffin McElroy', '杰·费罗尔', '布雷克·格里芬', '迈克尔·里安达', '丝凯拉·格雷']",《智能大反攻》是由美国索尼哥伦比亚影片公司和索尼动画联合出品的原创喜剧冒险动画电影。该片由荣获奥斯卡最佳动画长片大奖的《蜘蛛侠：平行宇宙》金牌制作团队重磅打造，可谓2020年最值得期待的动画巨制。迈克尔·里安达（《怪诞小镇》）担任导演、菲尔·罗德和克里斯托弗·米勒（《蜘蛛侠：平行宇宙》《乐高大电影》）担任制片人。特立独行又充满创意的凯蒂·米切尔考上了她梦寐以求的电影学院。她本打算坐飞机前往学校，但热爱大自然的父亲瑞克却决定开车载全家人一起送凯蒂上大学，在她离开之前增进家人感情。除了凯蒂和瑞克，米切尔一家还包括乐天派的母亲琳达和性格古怪的弟弟艾伦，以及胖乎乎的可爱八哥犬蒙奇，他们展开了一段刺激的家庭公路自驾游。但意外发生了，智能科技突如其来地向人类发起反攻，彻底打乱了米切尔一家的计划。人们最常用的电子设备，从手机到家用电器，乃至一系列最新的私人机器人，决定在全球范围内向人类进攻。在两台友好的故障机器人帮助下，米切尔一家齐心协力互相帮助，共同面对这次非同寻常的挑战！,['magnet:?xt=urn:btih:d3ad5a07d42cd439a7eeee77e22996f3255c035b&dn=[电影天堂www.dytt89.com]智能大反攻-2021_BD英语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/dyzz/2021-04-26/3fa40b7bc594e449a465928af994929c.jpg', 'https://img.dytt89.com/d/file/html/gndy/dyzz/2021-04-26/07a1f6f15db2e1039cf938f8ff30e5d8.jpg']",,Good Newwz,2019,印度,"['喜剧', '爱情', '剧情']",印地语/英语,中英双字幕,2019-12-27,132 Mins,拉吉·梅塔,"['阿克谢·库玛尔', '卡琳娜·卡普尔', '迪尔吉特·多桑', '伽罗·阿德瓦尼', '阿迪勒·侯赛因', '蒂丝卡·乔普拉', '安妮娜·苏哈尼', '费萨尔·拉希德', '西姆兰·苏里', '阿米什卡·苏德', '里卡·卡普尔', '巴拉特·阿胡贾', '苏妮塔·迪尔', '普瑞迪普·库克雷亚', '卡维塔·佩斯', '卡伦·乔哈尔', '莫希特·雷纳']",印度孟买，结婚七年一直没有孩子汽车销售员巴特拉·瓦伦与新闻女记者迪普提，决定到医院人工授精。在已经移植成功后，医院告知精子与另一对叫巴特拉的搞混。瓦伦很伤心，一度不想要这个孩子要求迪普提打胎。另一对巴特拉夫妻担心堕胎，赶紧搬到瓦伦家楼上。两对夫妻从开始的冲突，到后期的和谐相处。,['magnet:?xt=urn:btih:bce62beb511660ef228aa55e64419f503d92ef49&dn=[电影天堂www.dytt89.com]好消息-2019_BD中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-24/9b7bf80c42963a35edb20e6fb5f1226e.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-24/2a53945c314439228f3888f2f88e1df9.jpg']",Tell Me When/等你等到那一天(港),Dime Cuándo Tú,2020,墨西哥,['喜剧'],西班牙语,中文字幕,2020-12-25,98 Mins,Gerardo Gatica,"['Héctor Bonilla', '马诺罗·卡罗', '加斯德罗·维罗尼卡', 'Gilli Messer', 'Gabriel Nuncio', 'Ludwika Paleta', '西梅娜·罗莫', 'José Carlos Ruiz', 'José Salof', 'Juca Viapri', '杰苏斯·扎瓦拉']",祖父去世后，墨西哥裔美国人威尔决定继续执行他为帮助他在墨西哥发现自己的根源而制定的计划。,['magnet:?xt=urn:btih:1699ec0a20c622e624405d0f83342697873bb327&dn=[电影天堂www.dytt89.com]爱在时时刻刻-2020_BD西班牙语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-23/2075e209a6b73e670a326d067faad91e.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-23/e31d0a6cf7400097a9ea90407be5a127.jpg']",,一度も�膜盲皮蓼护�,2020,日本,"['喜剧', '犯罪']",日语,中文字幕,2020-04-24,101 Mins,阪本顺治,"['石桥莲司', '岸部一德', '大楠道代', '桃井薰', '佐藤浩市', '丰川悦司', '江口洋介', '妻夫木聪', '井上真央', '柄本明', '前田亚季', '涩川清彦', '小野武彦', '柄本佑', '宽一郎']",市川进是一个年迈的小说家，性情冷酷。由于出版商觉得他写的小说太过时，很长一段时间内，他的手稿都没有被采用。但他除了是小说家之外，还是一名传说中的静默杀手。然而事实是他从没有对任何一个人开枪，他所做的都是帮真正的杀手今西调查目标人物——而这也是来自他好友石田的委托。善恶终有报，当石田成为黑手党的目标后，市川意识到自己的生命也危在旦夕。,['magnet:?xt=urn:btih:22e945bb28cea9bc9c64aa8cb031d0d13b4d36bd&dn=[电影天堂www.dytt89.com]从来没有开枪-2020_BD日语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/dyzz/2021-04-15/8ee0ff7eca3c4ee9434d91544445c9f5.jpg', 'https://img.dytt89.com/d/file/html/gndy/dyzz/2021-04-15/c6bcad52d5c02e2d09562986afd3638a.jpg']",Endgame,人潮汹涌,2021,中国大陆,"['喜剧', '犯罪']",汉语普通话,中文字幕,2021-02-12,120 Mins,饶晓志,"['刘德华', '肖央', '万茜', '程怡', '黄小蕾', '郭京飞', '刘天佐', '路阳', '郭帆', '雷佳音', '史航', '魏之皓']",陈小萌（肖央 饰）一直渴望成为一名演员，但残酷的现实令他至今扔在龙套的位置上苦苦挣扎。没钱没工作没恋人没朋友还欠了一大笔钱的陈小萌想到了死，可是就连死神都抛弃了他，他数次自杀都以失败告终。,['magnet:?xt=urn:btih:6835a47849c56cf9a431c1cbb903eece18735f33&dn=[电影天堂www.dytt89.com]人潮汹涌-2021_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-14/2a09a44aacd6c7b4b8c2390473208a3b.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-14/1c9e2be75d3f5955ac10c19f9472490b.jpg']",那夜凌晨，我老公死极死唔去(港)/老公不是人(台)/不死之人的夜晚/不死人之夜/Night,죽지않는 인간들의 밤,2020,韩国,"['喜剧', '科幻', '惊悚']",韩语,中英双字幕,2020-09-29,111 Mins,申政元,"['李贞贤', '金圣武', '杨东根', '徐英姬', '李美度']",讲述了和完美的丈夫结婚的妻子（李贞贤 饰）发现丈夫（金圣武 饰）有着不可告人的秘密，她便和朋友们（徐英姬、李美度 饰）以及侦探（杨东根 饰）齐心协力想要先把丈夫杀死却发生了意想不到的事情的SF搞笑惊悚故事。,['magnet:?xt=urn:btih:a757fd7bb7025f2855514fc203ecb30d225008b4&dn=[电影天堂www.dytt89.com]活死人之夜-2020_BD中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-13/72e93008e1adb8e9bae95ef77c754414.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-13/1b0de4af0132bf56ec35f7b08cfc5b34.jpg']",The Haunted Hotel,闹鬼旅馆,2021,英国,"['喜剧', '恐怖']",英语,中英双字幕,2021-04（英国,95 Mins,Jean Campbell Hogg,"['休·弗拉瑟', '瑞斯·里奇', '罗伯·贾维斯']",在过去的几十年里，8个幽灵般的遭遇的故事，在一个曾经宏伟的英国酒店的废墟中显现。,['magnet:?xt=urn:btih:122a3930ce225cb21541843cbe615372998882e2&dn=[电影天堂www.dytt89.com]闹鬼旅馆-2021_BD中英双字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-12/3d9df268eff7b7dce66a699546b54c2f.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-12/7a0949827147873c803c3c160e652e59.jpg']",Ready or Knot,不日成婚,2021,中国香港,"['喜剧', '爱情']",汉语普通话/粤语,中文字幕,2021-04-11,95 Mins,陈茂贤,"['陈家乐', '卫诗雅', '朱�嗫�', '谈善言', '岑珈其', '杨�朴�', '邵音音']",阿佳 (陈家乐 饰)与可怡（卫诗雅 饰）在一个婚礼上相识，两人一拍即合，相爱五年，终于迎来最大的感情危机－“结婚”！女方视结婚为爱的证明；男方视结婚为爱的坟墓，二人在这议题上互有攻守，展开了一场男女之间深层次的角力！ 可怡的闺蜜Jenny (谈善言 饰)与Jessica (杨�朴� 饰) 出谋献策，教她奇招务求怀孕上身！一旦怀孕，婚事不就势在必行？！阿佳眼见可怡对自己展开“逼婚计划”，惟有在兄弟灰熊（朱�嗫� 饰）与阿健(岑珈其 饰) 的帮忙下积极迎战，誓要坚守不婚底线！ 女方计谋被连番识破，Jessica只好掏出杀着－春药！得知消息的灰熊冒着生命危险通风报信，阿佳虽已有所防范，但还是百密一疏，中了可怡的圈套，渡过了极爽快的“无套一夜”！事后阿佳提心吊胆，最反对结婚的浪子阿健立即提出“事后大行动”— 务求在黄金三十六小时内，将事后避孕丸偷偷让可怡服下！ 然而，阿佳冷静过后，还是打消了念头，但事情最终败露。阿佳百口莫辩，可怡心灰意冷，决绝提出分手。恢复单身的二人心境大不相同，可怡在姐妹的陪伴下走出阴霾，重新出发，将生活的重心放回自身，重拾Working Holiday的心愿。 那边厢阿佳自以为潇洒，尽情享受单身的自由，但随时间推移却愈发空虚难耐，此时他才明白比起面对婚姻，他最恐惧的，原来是永远失去可怡！为追回即将飞往他国的女友，他当机立断，誓要策划一场“不日成婚”大行动！,['magnet:?xt=urn:btih:98809952ed17232a5e97c560aa385ac9cf7f7e6a&dn=[电影天堂www.dytt89.com]不日成婚-2021_HD国粤双语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/d3771c33597ff50434713e98f8d95e63.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/1c8bba7025fa771b26a01537d8535a17.jpg']",心里有数,心里有数,2021,中国大陆,"['喜剧', '爱情', '奇幻']",汉语普通话,中文字幕,2021-04-08,90 Mins,武雨泽,"['何欢', '罗丹笛', '纯情阿伟', '包贝尔', '文松', '张鹤伦']",阿欢从小就有一个很“废”的超能力：挨一耳光就能看见他和别人剩下的见面次数。一次意外让他深信，一旦突破了次数的限制就会带来厄运。从此阿欢得过且过，游戏人间。而青梅竹马的晓彤和阿欢的见面次数高达一万多，他本以为注定是一生的伴侣，所以毫不珍惜。直到有一天，阿欢发现自己和晓彤的见面次数只剩下几次，好哥们阿伟也要离他而去。他意识到自己必须做出改变。阿欢能否打破命运的魔咒呢？,['magnet:?xt=urn:btih:248004a2b848901a063a692a2ea65ce53a6e9321&dn=[电影天堂www.dytt89.com]心里有数-2021_HD国语中字.mp4']
"['https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/930c74d68ce2630aa6be9cf4903c694b.jpg', 'https://img.dytt89.com/d/file/html/gndy/jddy/2021-04-10/164e8e22d14795dd07e2e2c51527d69d.jpg']",雷霆之力,Thunder Force,2021,美国,"['喜剧', '动作']",英语,中英双字幕,2021-04-09,108 Mins,本·法尔科内,"['梅丽莎·麦卡西', '奥克塔维亚·斯宾瑟', '庞·克莱门捷夫', '杰森·贝特曼', '梅丽莎·里奥', '鲍比·坎纳瓦尔', '莎拉·贝克', '梅丽莎·庞西奥', 'Shane Berengue', 'Tyrel Jackson Williams', '布拉克斯顿·比肯', '特雷弗·拉科姆', '帕特里克·R·沃克', '马塞拉·洛维里', '泰·玛哈尼', '施奎塔·詹姆斯', 'John Crow', '肖恩·雷卡特尔', '佩拉·米德尔顿']",本片讲述在一个充满超级反派的世界里，Emily Stanton（Octavia Spencer饰演）意外令前闺蜜Lydia（Melissa McCarthy饰演）拥有了超能力，而两位女主得联手组成「雷霆女神」，对付反派「The King」并保护芝加哥。,['magnet:?xt=urn:btih:281c75036fc7f5a9704c7881b525c3be333dd815&dn=[电影天堂www.dytt89.com]雷霆女神-2021_BD中英双字.mp4']
